description,category,productId,id
"Instant Pot Duo 7-in-1 Electric Pressure Cooker, Sterilizer, Slow Cooker, Rice Cooker, Steamer, Saute, Yogurt Maker, and Warmer, 6 Quart, 14 One-Touch Programs",Search,p1,p1
The Lord of the Rings: One Volume,Experience,p2,p2
Coleman Sundome Tent,Search,p3,p3
"Harry Potter and the Prisoner of Azkaban, Book 3",Experience,p4,p4
"Shark Navigator Upright Vacuum for Carpet and Hard Floor with Lift-Away Handheld HEPA Filter, and Anti-Allergy Seal (NV352), Lavender",Search,p5,p5
A Court of Thorns and Roses,Experience,p6,p6
"MOOSOO Cordless Vacuum 4 in 1 Powerful Suction Stick Handheld Vacuum Cleaner for Home Hard Floor Carpet Car Pet - XL-618A, Lightweight",Search,p7,p7
"Harry Potter and the Deathly Hallows, Book 7",Experience,p8,p8
"Hoover Power Scrub Deluxe Carpet Cleaner Machine, Upright Shampooer, FH50150, Red",Search,p9,p9
Upload - Season 1,Experience,p10,p10
